decade,n_decade,baseline_pct,top_n,top_effect_pp,bot_n,bot_effect_pp
1990s,50,21.1194956243957,2,0.7451466614717073,6,1.492148481988309
2000s,120,-0.25777138127298205,19,-18.116614937805778,2,48.66844178081979
2010s,120,11.312363121025543,2,-4.824940451647991,0,
2020s,65,15.963627168128427,2,-1.1596814397079962,6,19.082311106068488
