decile,n,mean,median,p10,p90,hit_rate,vs_full_pp
0-10% (extreme low / setup),14,0.31626202505898515,0.270629398573235,0.1711719807478927,0.4914733953357803,1.0,21.991944601902908
10-30% (low / leaning setup),52,0.1726910316308845,0.19973914594672204,-0.0499656169835174,0.3270794975978224,0.8461538461538461,7.634845259092844
30-50% (mid-low),71,0.09983153636252776,0.11990243586766614,-0.12551853186991901,0.25306693640426325,0.8309859154929577,0.34889573225716924
50-70% (mid-high),85,0.10368641794901944,0.12441766025128809,-0.06674729653827768,0.26506660429315665,0.8352941176470589,0.7343838909063372
70-90% (high / leaning warning),109,0.06700786592873961,0.08781587148049486,-0.14856892782689093,0.22698458099847776,0.7339449541284404,-2.9334713111216453
90-100% (extreme high / warning),24,-0.10046785125358854,-0.13194604372479263,-0.3603614461566245,0.1531001652985432,0.2916666666666667,-19.681043029354463
